Year,District,Area,Production,Crop_Yield,Plantation_Temperature,Plantation_Humidity,Plantation_Rainfall,Growth_Temperature,Growth_Humidity,Growth_Rainfall,Harvest_Temperature,Harvest_Humidity,Harvest_Rainfall
2012-13,Bhawalnagar,49.78,106.34,2136,28.745401188473625,77.74172848530235,185.8412751843012,36.40924224974763,67.54746143855911,261.9067318898135,31.19865367333683,62.11945357302523,55.63754966509271
2012-13,Sheikhupura,205.58,382.15,1858,34.50714306409916,75.59751091715248,142.89940273750184,43.0219698075404,64.8153723550841,237.50531476457394,33.37615171403628,70.15692220928739,136.47223762550533
2012-13,Jhang,59.06,94.5,1599,32.31993941811405,72.84063292308575,175.08710677914974,35.74550643679771,63.94031481990536,294.3258822711813,39.429097039125196,55.287869772595116,131.29010091300776
2012-13,Sialkot,150.53,302.59,2010,30.986584841970366,61.68279929990098,175.45428740846825,44.86886936600517,64.04968167974218,206.23058692855562,33.23202932020755,57.321452810138325,149.97176732861305
2012-13,Hafizabad,128.7,271.89,2113,26.560186404424364,63.232574281892276,110.31238688359326,42.722447692966576,57.1898230243951,192.8568129422791,35.187906217433664,55.920052840435055,149.66368370739053
2012-13,Pakpattan,45.32,116.62,2573,26.559945203362027,77.97108377054158,190.25529066795667,36.98715681534173,55.871836885289866,280.28986922841904,37.03018958895178,55.8145760463794,105.54317056026275
2013-14,Bhawalnagar,61.1,127.9,2094,25.580836121681994,72.12858119319179,150.52523724478573,35.05522117123603,66.18722310957027,183.53937577791788,33.63629602379294,72.10921168022014,126.89874151805105
2013-14,Sheikhupura,196.3,351.7,1792,33.66176145774935,60.18394103233259,182.64574661077415,43.154614284548344,66.20226789358361,294.48338091609173,39.71782082720961,69.07315718760047,144.47657298824282
2013-14,Jhang,60.7,107.0,1762,31.011150117432088,62.02943085732064,132.00496010306117,42.06857343847617,67.34144637160207,151.82317120347244,39.62447294942111,64.4834765817465,134.96473906774116
2013-14,Sialkot,149.7,149.1,1743,32.08072577796045,73.27003538216111,189.55232284962005,42.29007168040987,68.26481105112943,295.48182400614587,32.51782295825364,56.95668321302003,74.73481017431976
2013-14,Hafizabad,132.7,271.3,2044,25.205844942958024,60.10123167692437,138.92016787341632,42.71270346685946,60.22684797721875,156.47398679258643,34.97248505892385,64.83231750233665,95.05441353100935
2013-14,Pakpattan,46.9,110.9,2363,34.699098521619945,63.21616102834997,101.08376514802984,35.74044651734091,60.03032589374399,283.67146705471066,33.0087830981677,64.46943541561131,62.9159415151495
2014-15,Bhawalnagar,66.37,138.74,2091,33.324426408004214,70.97467578733172,190.53819764192636,38.584657285442724,65.9659035793355,229.15516636294498,32.848404943774675,58.464037398200304,145.40510272587224
2014-15,Sheikhupura,200.31,356.58,1780,27.123391106782762,73.83790395385387,109.12866767861335,36.1586905952513,62.999278615555305,298.94471941789504,30.368869473545328,63.677032984759464,110.617463445088
2014-15,Jhang,52.61,93.48,1777,26.818249672071005,73.03922519005201,131.9313637590415,43.63103425875593,64.03933754515407,161.06948471030984,36.09564333979897,62.970094687947466,72.86428055034628
2014-15,Sialkot,139.61,247.7,1775,26.83404509853434,64.4853861892112,195.0061967050805,41.23298126827558,65.91585338872201,233.07814266019813,35.02679023228862,67.31700196104433,117.17006844058567
2014-15,Hafizabad,123.02,236.58,1923,28.042422429595376,74.24358442695072,195.0607146937556,38.308980248526495,67.80010683635132,295.3953803428649,30.514787512499893,67.70187301735288,111.81282404578958
2014-15,Pakpattan,54.23,128.46,2369,30.24756431632238,64.744981749936,157.34378881232863,35.635583502860236,56.75990313703072,228.46467662552232,32.78646464236611,55.90608019544089,85.81627180328405
2015-16,Bhawalnagar,73.25,144.47,1972,29.319450186421157,66.50799396318536,163.18372121697993,38.109823217156624,57.511659052798876,244.40979572028937,39.08265885966654,62.49225229252942,61.355759219962906
2015-16,Sheikhupura,172.39,332.5,1929,27.91229140198042,74.92982810236049,144.84455219783197,38.25183322026747,51.87963879681738,254.36230334769257,32.395618906669725,67.51719831428473,117.15731955927996
2015-16,Jhang,50.59,89.14,1763,31.118528947223794,72.9926579809443,129.32107716980644,42.29606178338064,61.565602819923484,218.181159715166,31.44894872091223,65.06272517160176,102.03077009037932
2015-16,Sialkot,131.52,238.43,1813,26.39493860652042,76.98446820988356,132.8664545369916,41.37557471355213,50.71884547593484,244.13371201260952,34.89452760277563,72.12979682376644,127.23183917356393
2015-16,Hafizabad,133.55,279.37,2092,27.92144648535218,73.15225784600686,167.25184560770384,43.87212742576327,59.3119603626492,237.64714678846502,39.856504541106005,68.1738726323789,102.01635011119933
2015-16,Pakpattan,55.44,123.83,2234,28.663618432936918,71.36617206670942,175.237452943768,39.72214925161949,60.852892694151535,285.1737015736484,32.42055271511501,58.258688541628594,135.218150031854
2016-17,Bhawalnagar,72.43,146.02,2016,29.560699842170358,61.87349535656185,179.15790437258485,36.19594245938302,55.73082504256569,156.81695705121868,36.72135547405878,56.4113749480086,105.19068387744855
2016-17,Sheikhupura,171.18,316.88,1851,32.851759613930135,67.35431606118867,178.96181427945538,42.132447872229946,61.81666521138021,192.14447843883454,37.61619615328718,67.84838556412632,106.09379715353862
2016-17,Jhang,50.18,95.77,1908,26.996737821583597,65.3040473536345,109.12061030486903,42.60785048616897,50.61000499878099,292.5617226114838,32.376375439924,55.53022621083244,137.66536026583452
